Category,SKU,Name,English Name,Unit,Qty
,104,,,PCS,362
,105,,,PCS,133430
,106,,,PCS,26086
,107,,,PCS,60
,108,,,PCS,504
,109,,,PCS,220
,110,,,PCS,219
,111,,,PCS,321
,114,,,PCS,40
,115,,,PCS,24
,116,,,PCS,124
,117,,,PCS,0
,118,,,PCS,647
,119,,,PCS,102
,120,,,PCS,36
,121,,,PCS,14940
,122,,,PCS,3567
,123,,,PCS,519
,124,,,PCS,494
,125,,,PCS,2642
,126,,,PCS,899
,127,,,PCS,0
,128,,,PCS,3019
,129,,,PCS,2474
,130,,,PCS,720
,131,,,PCS,574
,132,,,PCS,409
,133,,,PCS,2708
,134,,,PCS,186
,135,,,PCS,14
,136,,,PCS,2
,137,,,PCS,68
,138,,,PCS,20
,139,,,PCS,10
,140,,,PCS,13
,141,,,PCS,0
,142,,,PCS,2592
,143,,,PCS,29
,144,,,PCS,141
,145,,,PCS,219
,146,,,PCS,88
,148,,,PCS,478
,150,,,PCS,71
,152,,,PCS,37
,153,,,PCS,13
,154,,,PCS,119
,160,,,PCS,90
,161,,,PCS,8
,162,,,PCS,1925
,164,,,PCS,35
,166,,,PCS,12
,167,,,PCS,12
,168,,,PCS,1
,169,,,PCS,1
,170,,,PCS,3
,172,,,PCS,182
,173,,,PCS,4
,175,,,PCS,2
,176,,,PCS,0
,177,,,PCS,18
,178,,,PCS,30
,180,,,PCS,9
,181,,,PCS,13
,183,,,PCS,9
,184,,,PCS,73
,186,,,PCS,5
,187,,,PCS,18
,188,,,PCS,6
,189,,,PCS,6
,190,,,PCS,5
,191,,,PCS,4
,192,,,PCS,9
,193,,,PCS,53
,194,,,PCS,10
,195,,,PCS,6
,196,,,PCS,18
,197,,,PCS,1
,198,,,PCS,99
,199,,,PCS,3
,200,,,PCS,1
,201,,,PCS,3
,202,,,PCS,1
,211,,,PCS,2
,212,,,PCS,109
,213,,,PCS,195
,214,,,PCS,54
,215,,,PCS,57
,216,,,PCS,55
,217,,,PCS,16
,218,,,PCS,18
,219,,,PCS,63
,220,,,PCS,5
,226,,,PCS,4
,227,,,PCS,259
,228,,,PCS,29
,229,,,PCS,72
,230,,,PCS,50
,231,,,PCS,473
,232,,,PCS,10
,235,,,PCS,78
,236,,,PCS,1
,237,,,PCS,2
,239,,,PCS,30
,240,,,PCS,1
,241,,,PCS,23
,242,,,PCS,1
,243,,,PCS,17
,245,,,PCS,1
,246,,,PCS,2
,250,,,PCS,2
,251,,,PCS,-9
,252,,,PCS,20
,253,,,PCS,33
,254,,,PCS,33
,255,,,PCS,1
,256,,,PCS,48
,257,,,PCS,9
,258,,,PCS,24
,259,,,PCS,23
,261,,,PCS,-3
,262,,,PCS,10
,263,,,PCS,1
,264,,,PCS,48
,265,,,PCS,46
,266,,,PCS,2
,267,,,PCS,1
,268,,,PCS,3
,269,,,PCS,5
,270,,,PCS,2
,271,,,PCS,2
,272,,,PCS,4
,275,,,PCS,7
,276,,,PCS,2
,277,,,PCS,1
,278,,,PCS,2
,279,,,PCS,6
,280,,,PCS,1
,281,,,PCS,3
,282,,,PCS,5
,283,,,PCS,2
,284,,,PCS,6
,285,,,PCS,6
,286,,,PCS,3
,287,,,PCS,2
,289,,,PCS,2
,293,,,PCS,3
,294,,,PCS,15
,295,,,PCS,85
,296,,,PCS,2499
,301,,,PCS,267
,302,,,PCS,9399
,303,,,PCS,25
,304,,,PCS,1
,306,,,PCS,1
,308,,,PCS,13
,310,,,PCS,18
,311,,,PCS,2
,312,,,PCS,-4
,313,,,PCS,0
,314,,,PCS,6
,315,,,PCS,4
,316,,,PCS,3
,317,,,PCS,19
,318,,,PCS,17
,319,,,PCS,3
,320,,,PCS,1273
,321,,,PCS,308
,322,,,PCS,16
,323,,,PCS,-41
,324,,,PCS,1
,325,,,PCS,656
,326,,,PCS,6
,327,,,PCS,12
,328,,,PCS,660
,330,,,PCS,3
,332,,,PCS,9
,339,,,PCS,460
,340,,,PCS,485
,341,,,PCS,11
,343,,,PCS,-2
,345,,,PCS,9
,346,,,PCS,1
,347,,,PCS,9
,350,,,PCS,20
,353,,,PCS,-4
,355,,,PCS,25
,356,,,PCS,37
,357,,,PCS,22
,359,,,PCS,5
,361,,,PCS,47
,362,,,PCS,48
,363,,,PCS,64
,364,,,PCS,36
,367,,,PCS,538
,368,,,PCS,1
,372,,,PCS,3
,373,,,PCS,2
,374,,,PCS,19
,375,,,PCS,8
,376,,,PCS,26
,377,,,PCS,10
,378,,,PCS,4
,379,,,PCS,6
,380,,,PCS,1
,381,,,PCS,3
,382,,,PCS,6
,384,,,PCS,14
,385,,,PCS,8
,387,,,PCS,8
,388,,,PCS,15
,389,,,PCS,16
,390,,,PCS,12
,392,,,PCS,4
,393,,,PCS,11
,394,,,PCS,6
,395,,,PCS,4
,396,,,PCS,5
,398,,,PCS,6
,399,,,PCS,10
,400,,,PCS,0
,401,,,PCS,18
,402,,,PCS,38
,403,,,PCS,40
,404,,,PCS,0
,407,,,PCS,5
,408,,,PCS,0
,409,,,PCS,2
,410,,,PCS,34
,411,,,PCS,14
,412,,,PCS,53
,414,,,PCS,10
,415,,,PCS,3
,416,,,PCS,2
,417,,,PCS,4
,418,,,PCS,5
,419,,,PCS,2
,421,,,PCS,1606
,422,,,PCS,1346
,423,,,PCS,848
,424,,,PCS,4
,425,,,PCS,7
,426,,,PCS,16
,427,,,PCS,8
,428,,,PCS,26
,429,,,PCS,18
,430,,,PCS,1
,431,,,PCS,0
,432,,,PCS,123
,433,,,PCS,187
,434,,,PCS,40
,435,,,PCS,20
,436,,,PCS,27
,437,,,PCS,30
,438,,,PCS,1
,439,,,PCS,25
,440,,,PCS,129
,441,,,PCS,176
,442,,,PCS,3
,443,,,PCS,1
,444,,,PCS,0
,445,,,PCS,0
,446,,,PCS,0
,447,,,PCS,0
,448,,,PCS,0
,449,,,PCS,201
,450,,,PCS,0
,451,,,PCS,8
,452,,,PCS,6
,453,,,PCS,0
,454,,,PCS,0
,455,,,PCS,1
,456,,,PCS,0
,457,,,PCS,0
,458,,,PCS,0
,459,,,PCS,30
,460,,,PCS,4
,470,,,PCS,0
,471,,,PCS,30
,472,,,PCS,0
,473,,,PCS,47
,474,,,PCS,-1
,475,,,PCS,0
,476,,,PCS,0
,478,,,PCS,0
,481,,,PCS,0
,482,,,PCS,0
,483,,,PCS,0
,484,,,PCS,1
,485,,,PCS,0
,486,,,PCS,2
,487,,,PCS,1
,488,,,PCS,0
,489,,,PCS,0
,490,,,PCS,0
,491,,,PCS,3
,492,,,PCS,0
,493,,,PCS,55
,494,,,PCS,55
,495,,,PCS,0
,496,,,PCS,0
,497,,,PCS,0
,502,,,PCS,0
,503,,,PCS,0
,504,,,PCS,0
,505,,,PCS,4
,506,,,PCS,0
,507,,,PCS,10
,508,,,PCS,10
,509,,,PCS,12
,510,,,PCS,0
,511,,,PCS,0
,512,,,PCS,0
,513,,,PCS,0
,514,,,PCS,0
,515,,,PCS,2
,516,,,PCS,12
,517,,,PCS,12
,518,,,PCS,3
,519,,,PCS,0
,520,,,PCS,0
,521,,,PCS,0
,522,,,PCS,1
,523,,,PCS,1
,524,,,PCS,1
,525,,,PCS,1
