Category,SKU,Name,English Name,Unit,Qty
,104,,,PCS,391
,105,,,PCS,156560
,106,,,PCS,26913
,107,,,PCS,100
,108,,,PCS,504
,109,,,PCS,220
,110,,,PCS,311
,111,,,PCS,649
,114,,,PCS,40
,115,,,PCS,24
,116,,,PCS,169
,117,,,PCS,0
,118,,,PCS,2733
,119,,,PCS,107
,120,,,PCS,36
,121,,,PCS,21206
,122,,,PCS,4658
,123,,,PCS,245
,124,,,PCS,674
,125,,,PCS,1824
,126,,,PCS,2506
,127,,,PCS,0
,128,,,PCS,968
,129,,,PCS,2769
,130,,,PCS,162
,131,,,PCS,511
,132,,,PCS,106
,133,,,PCS,5444
,134,,,PCS,186
,135,,,PCS,14
,136,,,PCS,2
,137,,,PCS,143
,138,,,PCS,20
,139,,,PCS,7
,140,,,PCS,20
,141,,,PCS,18
,142,,,PCS,738
,143,,,PCS,31
,144,,,PCS,54
,145,,,PCS,49
,146,,,PCS,88
,148,,,PCS,478
,150,,,PCS,71
,152,,,PCS,37
,153,,,PCS,13
,154,,,PCS,119
,160,,,PCS,88
,161,,,PCS,8
,162,,,PCS,1620
,164,,,PCS,35
,166,,,PCS,12
,167,,,PCS,7
,168,,,PCS,1
,169,,,PCS,1
,170,,,PCS,0
,172,,,PCS,178
,173,,,PCS,0
,175,,,PCS,2
,176,,,PCS,2
,177,,,PCS,18
,178,,,PCS,30
,180,,,PCS,9
,181,,,PCS,0
,183,,,PCS,9
,184,,,PCS,73
,185,,,PCS,-2
,186,,,PCS,0
,187,,,PCS,13
,188,,,PCS,4
,189,,,PCS,5
,190,,,PCS,8
,191,,,PCS,3
,192,,,PCS,7
,193,,,PCS,31
,194,,,PCS,5
,195,,,PCS,1
,196,,,PCS,18
,197,,,PCS,1
,198,,,PCS,86
,199,,,PCS,2
,200,,,PCS,0
,201,,,PCS,1
,202,,,PCS,0
,209,,,PCS,-1
,211,,,PCS,0
,212,,,PCS,114
,213,,,PCS,171
,214,,,PCS,52
,215,,,PCS,54
,216,,,PCS,55
,217,,,PCS,16
,218,,,PCS,18
,219,,,PCS,63
,220,,,PCS,5
,226,,,PCS,4
,227,,,PCS,257
,228,,,PCS,29
,229,,,PCS,72
,230,,,PCS,50
,231,,,PCS,425
,232,,,PCS,3
,235,,,PCS,77
,236,,,PCS,1
,237,,,PCS,2
,238,,,PCS,-1
,239,,,PCS,37
,240,,,PCS,-1
,241,,,PCS,56
,242,,,PCS,-4
,243,,,PCS,22
,245,,,PCS,1
,246,,,PCS,2
,248,,,PCS,-1
,250,,,PCS,2
,251,,,PCS,-9
,252,,,PCS,31
,253,,,PCS,18
,254,,,PCS,57
,255,,,PCS,75
,256,,,PCS,1
,257,,,PCS,19
,258,,,PCS,23
,259,,,PCS,12
,261,,,PCS,-3
,262,,,PCS,1
,263,,,PCS,1
,264,,,PCS,48
,265,,,PCS,63
,266,,,PCS,2
,267,,,PCS,1
,268,,,PCS,3
,269,,,PCS,5
,270,,,PCS,2
,271,,,PCS,2
,272,,,PCS,4
,275,,,PCS,-3
,276,,,PCS,1
,277,,,PCS,1
,278,,,PCS,0
,279,,,PCS,6
,280,,,PCS,1
,281,,,PCS,3
,282,,,PCS,5
,283,,,PCS,2
,284,,,PCS,6
,285,,,PCS,6
,286,,,PCS,3
,287,,,PCS,2
,289,,,PCS,2
,291,,,PCS,10
,293,,,PCS,3
,294,,,PCS,15
,295,,,PCS,85
,296,,,PCS,2314
,301,,,PCS,401
,302,,,PCS,20421
,303,,,PCS,23
,304,,,PCS,0
,306,,,PCS,1
,308,,,PCS,11
,310,,,PCS,3
,311,,,PCS,2
,312,,,PCS,3
,313,,,PCS,5
,314,,,PCS,5
,315,,,PCS,3
,316,,,PCS,5
,317,,,PCS,10
,318,,,PCS,2
,319,,,PCS,0
,320,,,PCS,0
,321,,,PCS,0
,322,,,PCS,16
,323,,,PCS,71
,324,,,PCS,3
,325,,,PCS,622
,326,,,PCS,11
,327,,,PCS,13
,328,,,PCS,660
,330,,,PCS,207
,332,,,PCS,3
,333,,,PCS,0
,335,,,PCS,-4
,339,,,PCS,-300
,340,,,PCS,60
,341,,,PCS,11
,342,,,PCS,-2
,343,,,PCS,-8
,344,,,PCS,-2
,345,,,PCS,8
,346,,,PCS,-4
,347,,,PCS,9
,349,,,PCS,-2
,350,,,PCS,37
,351,,,PCS,-5
,352,,,PCS,9
,353,,,PCS,5
,354,,,PCS,-11
,355,,,PCS,39
,356,,,PCS,38
,357,,,PCS,15
,359,,,PCS,5
,361,,,PCS,47
,362,,,PCS,48
,363,,,PCS,62
,364,,,PCS,0
,367,,,PCS,243
,368,,,PCS,1
,372,,,PCS,3
,373,,,PCS,2
,374,,,PCS,11
,375,,,PCS,0
,376,,,PCS,19
,377,,,PCS,12
,378,,,PCS,6
,379,,,PCS,3
,380,,,PCS,4
,381,,,PCS,6
,382,,,PCS,5
,384,,,PCS,0
,385,,,PCS,8
,386,,,PCS,0
,387,,,PCS,8
,388,,,PCS,15
,389,,,PCS,15
,390,,,PCS,0
,391,,,PCS,0
,392,,,PCS,0
,393,,,PCS,5
,394,,,PCS,0
,395,,,PCS,0
,396,,,PCS,0
,398,,,PCS,12
,399,,,PCS,32
,400,,,PCS,0
,401,,,PCS,32
,402,,,PCS,17
,403,,,PCS,14
,404,,,PCS,0
,407,,,PCS,24
,408,,,PCS,2
,409,,,PCS,2
,410,,,PCS,33
,411,,,PCS,55
,412,,,PCS,47
,414,,,PCS,3
,415,,,PCS,1
,416,,,PCS,-2
,417,,,PCS,2
,418,,,PCS,2
,419,,,PCS,0
,421,,,PCS,2092
,422,,,PCS,1232
,423,,,PCS,1147
,424,,,PCS,0
,425,,,PCS,15
,426,,,PCS,14
,427,,,PCS,8
,428,,,PCS,6
,429,,,PCS,7
,430,,,PCS,1
,431,,,PCS,0
,432,,,PCS,249
,433,,,PCS,235
,434,,,PCS,16
,435,,,PCS,16
,436,,,PCS,91
,437,,,PCS,77
,438,,,PCS,12
,439,,,PCS,26
,440,,,PCS,578
,441,,,PCS,202
,442,,,PCS,15
,443,,,PCS,0
,444,,,PCS,0
,445,,,PCS,0
,446,,,PCS,0
,447,,,PCS,168
,448,,,PCS,0
,449,,,PCS,357
,450,,,PCS,0
,451,,,PCS,30
,452,,,PCS,6
,453,,,PCS,0
,454,,,PCS,253
,455,,,PCS,1
,456,,,PCS,170
,457,,,PCS,0
,458,,,PCS,0
,459,,,PCS,0
,460,,,PCS,4
,470,,,PCS,0
,471,,,PCS,38
,472,,,PCS,0
,473,,,PCS,19
,474,,,PCS,-1
,475,,,PCS,0
,476,,,PCS,0
,478,,,PCS,0
,481,,,PCS,0
,482,,,PCS,0
,483,,,PCS,0
,484,,,PCS,0
,485,,,PCS,0
,486,,,PCS,19
,487,,,PCS,0
,488,,,PCS,0
