Category,SKU,Name,English Name,Unit,Qty
,104,,,PCS,-397
,105,,,PCS,-109332
,106,,,PCS,-25183
,107,,,PCS,-42
,110,,,PCS,-56
,111,,,PCS,-546
,114,,,PCS,36
,117,,,PCS,0
,118,,,PCS,-934
,119,,,PCS,-76
,121,,,PCS,-6498
,122,,,PCS,-202
,123,,,PCS,-81
,124,,,PCS,-300
,125,,,PCS,-1831
,126,,,PCS,-2110
,128,,,PCS,-80
,129,,,PCS,-1324
,130,,,PCS,-22
,131,,,PCS,-17
,132,,,PCS,-90
,133,,,PCS,-729
,134,,,PCS,-186
,137,,,PCS,-67
,139,,,PCS,-6
,140,,,PCS,-8
,141,,,PCS,-1
,142,,,PCS,-611
,144,,,PCS,-8
,145,,,PCS,2
,155,,,PCS,0
,156,,,PCS,0
,162,,,PCS,-24
,172,,,PCS,-25
,179,,,PCS,0
,187,,,PCS,-1
,188,,,PCS,-1
,189,,,PCS,-2
,193,,,PCS,-1
,226,,,PCS,0
,231,,,PCS,-1
,237,,,PCS,-2
,239,,,PCS,-7
,241,,,PCS,-3
,243,,,PCS,-13
,245,,,PCS,-1
,249,,,PCS,0
,252,,,PCS,-2
,254,,,PCS,-8
,255,,,PCS,-9
,256,,,PCS,-29
,265,,,PCS,-2
,296,,,PCS,-29
,302,,,PCS,-465
,310,,,PCS,-1
,312,,,PCS,-1
,313,,,PCS,0
,315,,,PCS,0
,316,,,PCS,-3
,317,,,PCS,-1
,323,,,PCS,-5
,325,,,PCS,-582
,326,,,PCS,-2
,330,,,PCS,-91
,340,,,PCS,-120
,343,,,PCS,-1
,347,,,PCS,-2
,350,,,PCS,-7
,356,,,PCS,0
,367,,,PCS,0
,377,,,PCS,1
,381,,,PCS,-2
,401,,,PCS,-1
,402,,,PCS,-2
,403,,,PCS,-1
,411,,,PCS,-3
,412,,,PCS,-3
,421,,,PCS,-995
,422,,,PCS,-396
,423,,,PCS,-306
,432,,,PCS,-48
,433,,,PCS,-3
,435,,,PCS,-4
,436,,,PCS,-27
,437,,,PCS,-25
,438,,,PCS,-14
,439,,,PCS,-15
,440,,,PCS,-251
,441,,,PCS,-193
,442,,,PCS,2
,447,,,PCS,-7
,451,,,PCS,-1
,456,,,PCS,80
,471,,,PCS,-36
,474,,,PCS,1
,477,,,PCS,0
,492,,,PCS,0
,493,,,PCS,-197
,494,,,PCS,-104
,519,,,PCS,0
,521,,,PCS,-75
,524,,,PCS,0
,530,,,PCS,0
,536,,,PCS,-5
,559,,,PCS,-2
,616,,,PCS,-2
