Category,SKU,Name,English Name,Unit,Qty
,10 / 7,مسمار / سن حديد أسود,مسمار / سن حديد أسود,حبة,0
,11 / 4,TSH202V3,حساس حراره سلكي / TERACOM / TSH202V3,حبة,0
,11 / 7,مسمار / 12ملي عادي,مسمار / 12ملي عادي,حبة,0
,1-10001,TAT100 Asset tracker,TAT100 Asset tracker,حبة,0
,12 / 2,FMS INTERFACE 9164-10 / CANGO,FMS INTERFACE 9164-10 / CANGO,حبة,0
,12 / 7,واير / حديد 2ملي,واير / حديد 2ملي,حبة,0
,13 / 7,ورده / مفتوحه 12 ملي,ورده / مفتوحه 12 ملي,حبة,0
,14 / 7,ريشة دريل / 14ملي,ريشة دريل / 14ملي,حبة,0
,14-10001,قاريء RFID للحاويات - CF692-EU UHF integrated reader built in 9dbi antenna,قاريء RFID للحاويات - CF692-EU UHF integrated reader built in 9dbi antenna,,0
,14-10002,شرائح RFID للحاويات - G9811-135*22*5mm UHF RFID ABS anti-metal tags,شرائح RFID للحاويات - G9811-135*22*5mm UHF RFID ABS anti-metal tags,,0
,14-10003,عينات / Teltonika / MSP500CQJX01 / تتبع - محدد سرعه,عينات / Teltonika / MSP500CQJX01 / تتبع - محدد سرعه,حبة,0
,14-10004,عينات / Teltonika / PEX00000560 / ملحق لمحدد السرعه,عينات / Teltonika / PEX00000560 / ملحق لمحدد السرعه,حبة,0
,15 / 7,لي / هواء 10 ملي,لي / هواء 10 ملي,حبة,0
,16 / 7,ريشة دريل / 16ملي,ريشة دريل / 16ملي,حبة,0
,17 / 7,ريشة دريل / 12ملي,ريشة دريل / 12ملي,حبة,0
,18 / 7,علب كهرباء / 25 * 30,علب كهرباء / 25 * 30,حبة,0
,19 / 7,لي / هواء 8 ملي,لي / هواء 8 ملي,حبة,0
,20 / 7,ريشة دريل / 13ملي,ريشة دريل / 13ملي,حبة,0
,200,ريشة دريل / 8ملي,ريشة دريل / 8ملي,حبة,0
,21 / 7,جرجور,جرجور,حبة,0
,22 / 7,لي / هواء 12 ملي,لي / هواء 12 ملي,حبة,0
,23 / 7,زاويه / حديد,زاويه / حديد,حبة,0
,24 / 7,ريشة دريل / 10ملي,ريشة دريل / 10ملي,حبة,0
,25 / 7,ريشة دريل / 5.5ملي,ريشة دريل / 5.5ملي,حبة,0
,26 / 7,ريشة دريل / 9ملي,ريشة دريل / 9ملي,حبة,0
,27 / 7,فيش دكر و نتايه / بين الرأس و التيدر,فيش دكر و نتايه / بين الرأس و التيدر,حبة,0
,28 / 7,سلك / واحد خط - 1 ملي,سلك / واحد خط - 1 ملي,حبة,0
,29 / 7,فيوز / امبير 5 ملي,فيوز / امبير 5 ملي,حبة,0
,3 / 7,صامولة / 12ملي عادي,صامولة / 12ملي عادي,حبة,0
,30 / 7,توصيلة كهرباء / بين الرأس و التيدر,توصيلة كهرباء / بين الرأس و التيدر,حبة,0
,31 / 7,عازل / كهربائي,عازل / كهربائي,حبة,0
,3-10001,  ALL-CAN300-adapter,  ALL-CAN300-adapter,,0
,3-10002,LV-CAN200_12-adapter,LV-CAN200_12-adapter,,0
,3-10003, FMB140BTXW01 - Teltonika - tracking device, FMB140BTXW01 - Teltonika - tracking device,,0
,3-10004,  FMB140YNU801 - Teltonika - tracking device,  FMB140YNU801 - Teltonika - tracking device,,0
,3-10005,  CAN-CONTROL2 - Teltonika - adapter ,  CAN-CONTROL2 - Teltonika - adapter ,,0
,3-10006,  FMB003OE3E01 - Teltonika - tracking device,  FMB003OE3E01 - Teltonika - tracking device,,0
,32 / 7,بطارية / حساس حراره,بطارية / حساس حراره,حبة,0
,33 / 7,ورده / جلد 16 ملي,ورده / جلد 16 ملي,حبة,0
,34 / 7,وصلة هوا مشترك / 12*10*12,وصلة هوا مشترك / 12*10*12,حبة,0
,35 / 7,وصلة هوا مشترك / 12*12*12,وصلة هوا مشترك / 12*12*12,حبة,0
,36 / 7,نقاص / 16ملي - 1/4 بوصه,نقاص / 16ملي - 1/4 بوصه,حبة,0
,37 / 7,وصلة هوا مستقيم / 10*8,وصلة هوا مستقيم / 10*8,حبة,0
,38 / 7,ورده / 12ملي,ورده / 12ملي,حبة,0
,39 / 7,وصلة هوا سن حديد / 8 ملي / 1/4 بوصه,وصلة هوا سن حديد / 8 ملي / 1/4 بوصه,حبة,0
,4 / 7,صامولة / 12ملي اسود,صامولة / 12ملي اسود,حبة,0
,40 / 7,وصلة هوا مشترك / 8*8*8,وصلة هوا مشترك / 8*8*8,حبة,0
,41 / 7,سلك / جمارك,سلك / جمارك,حبة,0
,42 / 7,وصلة هوا مستقيم / 12*8,وصلة هوا مستقيم / 12*8,حبة,0
,43 / 7,حرف Z / حديد,حرف Z / حديد,حبة,0
,44 / 7,نقاص / 22 ملي * 16 ملي,نقاص / 22 ملي * 16 ملي,حبة,0
,45 / 7,مرابط / بلاستيك 300 * 4.8,مرابط / بلاستيك 300 * 4.8,حبة,0
,46 / 7,لاصق / شيطرطون أسود,لاصق / شيطرطون أسود,حبة,0
,47 / 7,موزع كهرباء,موزع كهرباء,حبة,0
,48 / 7,علاقه / حديد,علاقه / حديد,حبة,0
,49 / 7,مسمار / اسود ممسوح من النصف 12ملي,مسمار / اسود ممسوح من النصف 12ملي,حبة,0
,5 / 7,علب كهرباء / 10 * 10,علب كهرباء / 10 * 10,حبة,0
,50 / 7,قفيز / 16ملي,قفيز / 16ملي,حبة,0
,51 / 7,وصلة هوا مشترك / 10*8*10,وصلة هوا مشترك / 10*8*10,حبة,0
,52 / 7,مفتول / حديد,مفتول / حديد,حبة,0
,53 / 7,ورده / 12ملي عريض,ورده / 12ملي عريض,حبة,0
,54 / 7,ورده / جلد 1/4 بوصه,ورده / جلد 1/4 بوصه,حبة,0
,55 / 7,اعواد / المونيوم,اعواد / المونيوم,حبة,0
,56 / 7,مسطرة / حديد,مسطرة / حديد,حبة,0
,57 / 7,مسمار /  مقاس 2سم - 10ملي,مسمار /  مقاس 2سم - 10ملي,حبة,0
,58 / 7,ورده / 10ملي,ورده / 10ملي,حبة,0
,59 / 7,مسمار / جبس أسود,مسمار / جبس أسود,حبة,0
,6 / 7,فيش صناعي,فيش صناعي,حبة,0
,60 / 7,سوست / لتركيب حساسات الوزن,سوست / لتركيب حساسات الوزن,حبة,0
,61 / 7,سلك / فيش حساس,سلك / فيش حساس,حبة,0
,62 / 7,ورده / مفتوحه 10 ملي,ورده / مفتوحه 10 ملي,حبة,0
,63 / 7,مسمار /  مقاس 1.5سم - 10ملي,مسمار /  مقاس 1.5سم - 10ملي,حبة,0
,64 / 7,حرف S / علاقة سوسته,حرف S / علاقة سوسته,حبة,0
,65 / 7,جلدة / رأس,جلدة / رأس,حبة,0
,66 / 7,جلدة / قاعدة,جلدة / قاعدة,حبة,0
,67 / 7,صامولة / 10ملي عادي,صامولة / 10ملي عادي,حبة,0
,68 / 7,سلك فيش - محلي,سلك فيش - محلي,حبة,0
,7 / 7,قفل حديد 2ملي,قفل حديد 2ملي,حبة,0
,70 / 7,وصلة هوا مشترك / 12*8*12,وصلة هوا مشترك / 12*8*12,حبة,0
