Category,SKU,Name,English Name,Unit,Qty
,10.Jul,مسمار / سن حديد أسود,,,0
,11.Apr,TSH202V3,,,2
,11.Jul,مسمار / 12ملي عادي,,,0
,1-10001,TAT100 Asset tracker,,,0
,12.Feb,FMS INTERFACE 9164-10 / CANGO,,,0
,12.Jul,واير / حديد 2ملي,,,0
,13.Jul,ورده / مفتوحه 12 ملي,,,0
,14.Jul,ريشة دريل / 14ملي,,,0
,14-10001,قاريء RFID للحاويات - CF692-EU UHF integrated reader built in 9dbi antenna,,,0
,14-10002,شرائح RFID للحاويات - G9811-135*22*5mm UHF RFID ABS anti-metal tags,,,0
,14-10003,عينات / Teltonika / MSP500CQJX01 / تتبع - محدد سرعه,,,0
,14-10004,عينات / Teltonika / PEX00000560 / ملحق لمحدد السرعه,,,0
,15.Jul,لي / هواء 10 ملي,,,0
,16.Jul,ريشة دريل / 16ملي,,,0
,17.Jul,ريشة دريل / 12ملي,,,0
,18.Jul,علب كهرباء / 25 * 30,,,0
,19.Jul,لي / هواء 8 ملي,,,0
,20.Jul,ريشة دريل / 13ملي,,,0
,200,ريشة دريل / 8ملي,,,0
,21.Jul,جرجور,,,0
,22.Jul,لي / هواء 12 ملي,,,0
,23.Jul,زاويه / حديد,,,0
,24.Jul,ريشة دريل / 10ملي,,,0
,25.Jul,ريشة دريل / 5.5ملي,,,0
,26.Jul,ريشة دريل / 9ملي,,,0
,27.Jul,فيش دكر و نتايه / بين الرأس و التيدر,,,0
,28.Jul,سلك / واحد خط - 1 ملي,,,0
,29.Jul,فيوز / امبير 5 ملي,,,0
,03.Jul,صامولة / 12ملي عادي,,,0
,30.Jul,توصيلة كهرباء / بين الرأس و التيدر,,,0
,31.Jul,عازل / كهربائي,,,0
,3-10001,  ALL-CAN300-adapter,,,0
,3-10002,LV-CAN200_12-adapter,,,0
,3-10003, FMB140BTXW01 - Teltonika - tracking device,,,0
,3-10004,  FMB140YNU801 - Teltonika - tracking device,,,0
,3-10005,  CAN-CONTROL2 - Teltonika - adapter ,,,0
,3-10006,  FMB003OE3E01 - Teltonika - tracking device,,,0
,32 / 7,بطارية / حساس حراره,,,0
,33 / 7,ورده / جلد 16 ملي,,,0
,34 / 7,وصلة هوا مشترك / 12*10*12,,,0
,35 / 7,وصلة هوا مشترك / 12*12*12,,,0
,36 / 7,نقاص / 16ملي - 1/4 بوصه,,,0
,37 / 7,وصلة هوا مستقيم / 10*8,,,0
,38 / 7,ورده / 12ملي,,,0
,39 / 7,وصلة هوا سن حديد / 8 ملي / 1/4 بوصه,,,0
,04.Jul,صامولة / 12ملي اسود,,,0
,40 / 7,وصلة هوا مشترك / 8*8*8,,,0
,41 / 7,سلك / جمارك,,,0
,42 / 7,وصلة هوا مستقيم / 12*8,,,0
,43 / 7,حرف Z / حديد,,,0
,44 / 7,نقاص / 22 ملي * 16 ملي,,,0
,45 / 7,مرابط / بلاستيك 300 * 4.8,,,0
,46 / 7,لاصق / شيطرطون أسود,,,0
,47 / 7,موزع كهرباء,,,0
,48 / 7,علاقه / حديد,,,0
,49 / 7,مسمار / اسود ممسوح من النصف 12ملي,,,0
,05.Jul,علب كهرباء / 10 * 10,,,0
,50 / 7,قفيز / 16ملي,,,0
,51 / 7,وصلة هوا مشترك / 10*8*10,,,0
,52 / 7,مفتول / حديد,,,0
,53 / 7,ورده / 12ملي عريض,,,0
,54 / 7,ورده / جلد 1/4 بوصه,,,0
,55 / 7,اعواد / المونيوم,,,0
,56 / 7,مسطرة / حديد,,,0
,57 / 7,مسمار /  مقاس 2سم - 10ملي,,,0
,58 / 7,ورده / 10ملي,,,0
,59 / 7,مسمار / جبس أسود,,,0
,06.Jul,فيش صناعي,,,0
,60 / 7,سوست / لتركيب حساسات الوزن,,,0
,61 / 7,سلك / فيش حساس,,,0
,62 / 7,ورده / مفتوحه 10 ملي,,,0
,63 / 7,مسمار /  مقاس 1.5سم - 10ملي,,,0
,64 / 7,حرف S / علاقة سوسته,,,0
,65 / 7,جلدة / رأس,,,0
,66 / 7,جلدة / قاعدة,,,0
,67 / 7,صامولة / 10ملي عادي,,,0
,68 / 7,سلك فيش - محلي,,,0
,07.Jul,قفل حديد 2ملي,,,0
,70 / 7,وصلة هوا مشترك / 12*8*12,,,0
,71 / 7,مثبت / حديد,,,0
,72 / 7,قفيز / 2ملي,,,0
,77 / 7,وصلة هوا مشترك / 9*8*9,,,0
,09.Jul,مجرى ابيض / PVC TRUKING 16*16,,,0
,AT4,AT4 GPS asset tracking device,,,0
,Battery,TZ-Tag06B Battery,,,0
,BT 04,حساس حراره / BT 04 / للسيارات,,,103
,BT 04 PA,حساس حراره /  / BT 04 (PA) / للسيارات,,,0
,DEMO,توريد أجهزة تتبع DEMO . FMB120,,,0
,Door sensors,Door sensors,,,0
,FMB120,Teltonika FMB120 tracking device,,,432
,FMB125,Teltonika FMB125 tracking device,,,19
,FMB630,FMB630,,,0
,FMB640,Teltonika FMB640 tracking device,,,0
,FMM1122,FMM1122,,,0
,FMM130,توريد أجهزة تتبع المركبات اوربية .FMM130,,,0
,German A,حساس / الماني / وزن / هواء,,,354
