Category,SKU,Name,English Name,Unit,Qty
,FMB120,Tracking device - Vehicle - Teltonika FMB120,,,2721
,FMB125,Tracking device - Vehicle - Teltonika FMB125,,,268
,Teltonika FMC 130 tracking device,Tracking device - Vehicle - FMC 130 ,,,2697
,Teltonika FMM130 tracking device,Tracking device - Vehicle - FMM 130 ,,,20
,FMB640,Tracking device - Vehicle - Teltonika FMB640,,,407
,AT4,Tracking device - Asset - AT4 GPS,,,30
,OPD 5,Tracking device - Vehicle -OBD 5 plug-In,,,211
,OPD 620,JIMI - Tracking device - Vehicle - OPD620,,,3
,Q2,Tracking device - Vehicle - Q2,,,40
,MECHATRONICS,Sensor - Vehicle - WEIGHT - MECHANICS - MECHATRONICS ,,,11347
,German A,Sensor - Vehicle - Weight - Air ,,,2196
,LIBRA M,Sensor - Vehicle - WEIGHT - MECHANICAL - LIBRA,,,5104
,TBU 03,Sensor - Vehicle - Temperature - TZ-TempU03,,,67
,11 / 4,Sensor - Vehicle - Temperature - TSH202V3,,,7
,BT 04,Sensor - Vehicle - Temperature - BT 04,,,10
,BT 04 PA,Sensor - Vehicle - Temperature - BT 04 (PA),,,2
,Door sensors,Sensor - Vehicle - Door,,,1020
,حساس وقود,Sensor - Fuel,,,5
,RFID KEY,ibutton key,,,90
,RFID Socket,wire socket ibutton reader,,,114
,RD06,Gateway (GPRS-Modbus) - TZ-RD06,,,116
,RD06-1,Gateway (Wi-Fi-LAN) - TZ-RD06 ,,,12
,RD07,Gateway (GPRS-Modbus) - LoRa,,,48
,RD07-1,Gateway (Wi-Fi-LAN) - LoRa,,,2
,TAG 06,Sensor - Warehouse - Temperature - TZ-Tag06,,,20
,TAG 06 B,Sensor - Warehouse - Temperature - TZ-Tag06B,,,859
,TAG 07 B,Sensor - Warehouse - Humidity - LoRa-Tag07B,,,408
,TAG 08,Temperature sensor - TAG 08 - Warehouse,,,1
,JC400,Dash Camera 4G -  JC400 -JIMI,,,8
,JC400D,Dash Camera 4G -  JC400D -JIMI,,,10
,JC400P,Dash Camera 4G -  JC400P -JIMI,,,37
,فاصل - Relay,Relay,,,209
,LIBRA Master,WEIGHT Sensor Accessory -  Master - LIBRA,,,0
,LIBRA Slave,WEIGHT Sensor Accessory -  Slave - LIBRA,,,0
,Battery,TZ-Tag06B Battery,,,0
,10 / 7,Screw Black iron ,,,679
,11 / 7,Hex Bolt - 12 mm normal,,,1582
,12 / 7,Wire - iron 2 mm,,,1
,13 / 7,Washer - open 12 mm,,,500
,14 / 7,Drill bit - 14 mm,,,1
,15 / 7,Air Hose 10 ml,,,1
,16 / 7,Drill bit - 16 mm,,,1
,17 / 7,Drill bit - 12 mm,,,0
,18 / 7,Electricity boxes - 25 * 30,,,2
,19 / 7,Air Hose 8 ml,,,7
,20 / 7,Drill bit - 13 mm,,,3
,200,Drill bit - 8 mm,,,0
,21 / 7,"Plastic Flexible, Split Conduit Black",,,1
,22 / 7,Air Hose 12 ml,,,6
,23 / 7,Angle - steel,,,1055
,24 / 7,Drill bit - 10 mm,,,7
,25 / 7,Drill bit - 5.5 mm,,,0
,26 / 7,Drill bit - 9 mm,,,1
,27 / 7,Plug for electrical cable used in Trailer and Truck,,,32
,28 / 7,Wire - one line - 1 mm,,,0
,29 / 7,Fuse - amp 5 mm,,,17
,3 / 7,Nut - 12 mm normal,,,5356
,30 / 7,Electrical cable - between the Trailer and Truck,,,25
,31 / 7,Insulator - electrician,,,25
,32 / 7,Battery - temperature sensor,,,58
,33 / 7,Washer - Rubber 16 mm,,,575
,34 / 7,Joint air connection - 12 * 10 * 12,,,50
,35 / 7,Joint air connection - 12 * 12 * 12,,,50
,36 / 7,Reducer - 16 mm - 1-4 in,,,510
,37 / 7,Straight air joint - 10*8,,,82
,38 / 7,Washer - 12 mm,,,2580
,39 / 7,Iron fitting - 8 mm - 1-4 inch,,,520
,4 / 7,Nut - 12 mm black,,,0
,40 / 7,Joint air connection - 8 * 8 * 8,,,528
,41 / 7,Wire 2 Lines,,,11
,42 / 7,straight air joint - 12*8.5mm,,,90
,43 / 7,Iron Angle - Z Shaped,,,2150
,44 / 7,Reducer - 22 mm * 16 mm,,,510
,45 / 7,Cables' Plastic ties 300 * 4.8,,,116
,46 / 7,Adhesive - black tape,,,504
