Category,SKU,Name,English Name,Unit,Qty
,10 / 7,,,PCS,0
,11 / 4,,,PCS,0
,11 / 7,,,PCS,0
,1-10001,,,PCS,0
,12 / 2,,,PCS,0
,12 / 7,,,PCS,0
,13 / 7,,,PCS,0
,14 / 7,,,PCS,0
,14-10001,,,PCS,1
,14-10002,,,PCS,5
,14-10003,,,PCS,0
,14-10004,,,PCS,3
,15 / 7,,,PCS,0
,16 / 7,,,PCS,0
,17 / 7,,,PCS,0
,18 / 7,,,PCS,0
,19 / 7,,,PCS,0
,20 / 7,,,PCS,0
,200,,,PCS,0
,21 / 7,,,PCS,0
,22 / 7,,,PCS,0
,23 / 7,,,PCS,0
,24 / 7,,,PCS,0
,25 / 7,,,PCS,0
,26 / 7,,,PCS,0
,27 / 7,,,PCS,0
,28 / 7,,,PCS,0
,29 / 7,,,PCS,0
,3 / 7,,,PCS,0
,30 / 7,,,PCS,0
,31 / 7,,,PCS,0
,3-10001,,,PCS,5
,3-10002,,,PCS,3
,3-10003,,,PCS,3
,3-10004,,,PCS,3
,3-10005,,,PCS,3
,3-10006,,,PCS,3
,32 / 7,,,PCS,0
,33 / 7,,,PCS,0
,34 / 7,,,PCS,0
,35 / 7,,,PCS,0
,36 / 7,,,PCS,0
,37 / 7,,,PCS,0
,38 / 7,,,PCS,0
,39 / 7,,,PCS,0
,4 / 7,,,PCS,0
,40 / 7,,,PCS,0
,41 / 7,,,PCS,0
,42 / 7,,,PCS,0
,43 / 7,,,PCS,0
,44 / 7,,,PCS,0
,45 / 7,,,PCS,0
,46 / 7,,,PCS,0
,47 / 7,,,PCS,0
,48 / 7,,,PCS,0
,49 / 7,,,PCS,0
,5 / 7,,,PCS,0
,50 / 7,,,PCS,0
,51 / 7,,,PCS,0
,52 / 7,,,PCS,0
,53 / 7,,,PCS,0
,54 / 7,,,PCS,0
,55 / 7,,,PCS,0
,56 / 7,,,PCS,0
,57 / 7,,,PCS,0
,58 / 7,,,PCS,0
,59 / 7,,,PCS,0
,6 / 7,,,PCS,0
,60 / 7,,,PCS,0
,61 / 7,,,PCS,0
,62 / 7,,,PCS,0
,63 / 7,,,PCS,0
,64 / 7,,,PCS,0
,65 / 7,,,PCS,0
,66 / 7,,,PCS,0
,67 / 7,,,PCS,0
,68 / 7,,,PCS,0
,7 / 7,,,PCS,0
,70 / 7,,,PCS,0
,71 / 7,,,PCS,0
,72 / 7,,,PCS,0
,77 / 7,,,PCS,0
,9 / 7,,,PCS,0
,AT4,,,PCS,0
,Battery,,,PCS,0
,BT 04,,,PCS,13
,BT 04 PA,,,PCS,0
,DEMO,,,PCS,0
,Door sensors,,,PCS,0
,FMB120,,,PCS,47
,FMB125,,,PCS,0
,FMB630,,,PCS,0
,FMB640,,,PCS,0
,FMM1122,,,PCS,0
,FMM130,,,PCS,1
,German A,,,PCS,0
,GH5200,,,PCS,0
,GT06N,,,PCS,0
,JC100 EdgeCam,,,PCS,0
,JC400,,,PCS,0
,JC400D,,,PCS,0
,JC400P,,,PCS,0
,LIBRA A,,,PCS,0
,LIBRA M,,,PCS,0
,LIBRA Master,,,PCS,0
,LIBRA Slave,,,PCS,0
,Master - Red,,,PCS,0
,MECHATRONICS,,,PCS,0
,NWC,,,PCS,0
,NWC1,,,PCS,0
,NWC2,,,PCS,0
,NWC3,,,PCS,0
,OPD,,,PCS,0
,OPD 5,,,PCS,0
,OPD 620,,,PCS,0
,Q2,,,PCS,0
,RD06,,,PCS,0
,RD06-1,,,PCS,0
,RD07,,,PCS,0
,RD07-1,,,PCS,0
,RFID KEY,,,PCS,0
,RFID Socket,,,PCS,0
,Router,,,PCS,0
,SENSOR,,,PCS,0
,SISTEER,,,PCS,0
,Slave - Red,,,PCS,0
,Slave - yellow,,,PCS,0
,TAG 06,,,PCS,0
,TAG 06 B,,,PCS,4
,TAG 07 B,,,PCS,0
,TAG 08,,,PCS,0
,TBU 03,,,PCS,32
,FMC130,,,PCS,3
,TTG102,,,PCS,0
,Vehicle Branding,,,PCS,0
,اجور وصل,,,PCS,0
,حساس وزن,,,PCS,0
,حساس وقود,,,PCS,0
,فاصل - Relay,,,PCS,0
,يورو ستار,,,PCS,0
